LOT_ID,WAFER_ID,PART_ID,X_COORD,Y_COORD,HARD_BIN,SOFT_BIN,PASS,VCC_TEST,VCC_TEST_PASS,ICC_TEST,ICC_TEST_PASS,FREQ_TEST,FREQ_TEST_PASS
LOT12345,WAFER001,DIE_001,1,-5,1,1,1,1.0649,1,0.2431,1,101.295403,1
LOT12345,WAFER001,DIE_002,6,-7,1,1,1,1.0957,1,0.2383,1,99.5317,1
LOT12345,WAFER001,DIE_003,-7,-5,1,1,1,1.0974,1,0.2884,1,99.061096,1
LOT12345,WAFER001,DIE_004,4,-4,1,1,1,1.0663,1,0.2268,1,99.068497,1
LOT12345,WAFER001,DIE_005,-4,-7,1,1,1,1.0573,1,0.1543,1,96.550201,1
LOT12345,WAFER001,DIE_006,-5,-7,1,1,1,1.0331,1,0.1994,1,100.628502,1
LOT12345,WAFER001,DIE_007,-4,-5,1,1,1,1.0228,1,0.1794,1,102.931297,1
LOT12345,WAFER001,DIE_008,5,-7,1,1,1,1.0432,1,0.2534,1,97.150497,1
LOT12345,WAFER001,DIE_009,4,5,1,1,1,1.0337,1,0.2555,1,97.697998,1
LOT12345,WAFER001,DIE_010,-1,3,1,1,1,1.0613,1,0.22,1,99.416603,1
LOT12345,WAFER001,DIE_011,-1,2,1,1,1,1.0319,1,0.3426,1,99.973,1
LOT12345,WAFER001,DIE_012,-3,6,4,10,0,1.0183,1,0.2911,1,92.558296,0
LOT12345,WAFER001,DIE_013,-5,5,1,1,1,1.0563,1,0.152,1,97.343597,1
LOT12345,WAFER001,DIE_014,3,-4,1,1,1,1.0559,1,0.2869,1,100.342697,1
LOT12345,WAFER001,DIE_015,-1,1,1,1,1,1.0465,1,0.2349,1,97.042999,1
LOT12345,WAFER001,DIE_016,1,-4,1,1,1,1.0284,1,0.227,1,102.114197,1
LOT12345,WAFER001,DIE_017,3,4,1,1,1,1.0603,1,0.1618,1,100.648201,1
LOT12345,WAFER001,DIE_018,2,-2,1,1,1,1.0384,1,0.2162,1,101.223396,1
LOT12345,WAFER001,DIE_019,4,3,1,1,1,1.0809,1,0.2966,1,98.321602,1
LOT12345,WAFER001,DIE_020,-6,7,1,1,1,1.0407,1,0.2666,1,101.951103,1
LOT12345,WAFER001,DIE_021,0,7,1,1,1,1.0356,1,0.2407,1,97.7873,1
LOT12345,WAFER001,DIE_022,2,7,2,10,0,0.9141,0,0.2906,1,102.712502,1
LOT12345,WAFER001,DIE_023,-1,7,1,1,1,1.0478,1,0.3002,1,100.723297,1
LOT12345,WAFER001,DIE_024,4,-7,1,1,1,1.0306,1,0.2681,1,103.076103,1
LOT12345,WAFER001,DIE_025,1,0,4,10,0,1.0489,1,0.3282,1,94.760498,0
LOT12345,WAFER001,DIE_026,-4,0,1,1,1,1.0747,1,0.2544,1,99.402,1
LOT12345,WAFER001,DIE_027,1,-2,1,1,1,1.0528,1,0.1506,1,99.560699,1
LOT12345,WAFER001,DIE_028,4,-2,1,1,1,1.0607,1,0.3239,1,98.963501,1
LOT12345,WAFER001,DIE_029,5,7,1,1,1,1.0257,1,0.2249,1,101.830803,1
LOT12345,WAFER001,DIE_030,-6,-1,1,1,1,1.0599,1,0.2235,1,101.026497,1
LOT12345,WAFER001,DIE_031,7,1,2,10,0,0.9471,0,0.2984,1,98.595901,1
LOT12345,WAFER001,DIE_032,-2,3,4,10,0,1.0402,1,0.2304,1,92.072998,0
LOT12345,WAFER001,DIE_033,-7,-3,1,1,1,1.0589,1,0.2631,1,100.010201,1
LOT12345,WAFER001,DIE_034,-5,7,1,1,1,1.043,1,0.1792,1,99.158699,1
LOT12345,WAFER001,DIE_035,7,0,1,1,1,1.0397,1,0.2099,1,99.677399,1
LOT12345,WAFER001,DIE_036,-7,-2,1,1,1,1.0621,1,0.3443,1,100.349197,1
LOT12345,WAFER001,DIE_037,-5,-1,1,1,1,1.0577,1,0.2463,1,96.162498,1
LOT12345,WAFER001,DIE_038,6,-4,1,1,1,1.0492,1,0.253,1,104.926498,1
LOT12345,WAFER001,DIE_039,-7,-4,1,1,1,1.0442,1,0.2651,1,99.930603,1
LOT12345,WAFER001,DIE_040,-6,-7,1,1,1,1.0149,1,0.3071,1,101.503899,1
LOT12345,WAFER001,DIE_041,-3,-7,2,10,0,0.9263,0,0.2045,1,102.805603,1
LOT12345,WAFER001,DIE_042,-2,-1,1,1,1,1.0079,1,0.2793,1,104.380898,1
LOT12345,WAFER001,DIE_043,6,5,1,1,1,1.0203,1,0.2217,1,100.199303,1
